cve_mun,municipio_norm,municipio,grad_margi,grad_rez_social,conectividad,servicios_basicos,elementos_salud,educacion,desigualdad,dependencia_economica,calidad_vivienda,seguridad_alimentaria,seguridad_social
20102,sanandreszautla,San Andrés Zautla,Medio,Bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio
20103,sanantoninocastillovelasco,San Antonino Castillo Velasco,Alto,Medio,Medio,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Bajo
20104,sanantoninoelalto,San Antonino el Alto,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20105,sanantoninomonteverde,San Antonino Monte Verde,Medio,Medio,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Bajo,Medio
20106,sanantonioacutla,San Antonio Acutla,Medio,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Medio,Alto
20107,sanantoniodelacal,San Antonio de la Cal,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,Bajo
20108,sanantoniohuitepec,San Antonio Huitepec,Alto,Medio,Muy bajo,Muy bajo,Muy bajo,Medio,Alto,Medio,Medio,Bajo,Medio
20109,sanantonionanahuatipam,San Antonio Nanahuatípam,Medio,Bajo,Medio,Bajo,Alto,Bajo,Alto,Medio,Medio,Medio,Alto
20110,sanantoniosinicahua,San Antonio Sinicahua,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Bajo
20111,sanantoniotepetlapa,San Antonio Tepetlapa,Muy alto,Alto,Bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20112,sanbaltazarchichicapam,San Baltazar Chichicápam,Alto,Medio,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Medio,Medio,Bajo
20113,sanbaltazarloxicha,San Baltazar Loxicha,Medio,Medio,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20114,sanbaltazaryatzachielbajo,San Baltazar Yatzachi el Bajo,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Medio
20115,sanbartolocoyotepec,San Bartolo Coyotepec,Bajo,Muy bajo,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Medio,Bajo
20116,sanbartolomeayautla,San Bartolomé Ayautla,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Bajo,Muy bajo,Medio
20117,sanbartolomeloxicha,San Bartolomé Loxicha,Alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Bajo,Bajo,Alto
20118,sanbartolomequialana,San Bartolomé Quialana,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Alto,Medio,Alto,Bajo
20119,sanbartolomeyucuane,San Bartolomé Yucuañe,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20120,sanbartolomezoogocho,San Bartolomé Zoogocho,Medio,Medio,Medio,Muy bajo,,Medio,Alto,Medio,Medio,Medio,Bajo
20121,sanbartolosoyaltepec,San Bartolo Soyaltepec,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20122,sanbartoloyautepec,San Bartolo Yautepec,Medio,Bajo,Muy bajo,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20123,sanbernardomixtepec,San Bernardo Mixtepec,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Medio,Medio,Medio,Medio
20124,sanblasatempa,San Blas Atempa,Muy alto,Alto,Bajo,Bajo,Medio,Muy alto,Medio,Alto,Medio,Bajo,Medio
20125,sancarlosyautepec,San Carlos Yautepec,Alto,Alto,Muy bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Medio
20126,sancristobalamatlan,San Cristóbal Amatlán,Muy alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Alto
20127,sancristobalamoltepec,San Cristóbal Amoltepec,Alto,Muy alto,Muy bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20128,sancristoballachirioag,San Cristóbal Lachirioag,Medio,Bajo,Bajo,Medio,,Medio,Medio,Alto,Medio,Alto,Bajo
20129,sancristobalsuchixtlahuaca,San Cristóbal Suchixtlahuaca,Bajo,Muy bajo,Medio,Bajo,Alto,Bajo,Medio,Alto,Medio,Medio,Alto
20130,sandionisiodelmar,San Dionisio del Mar,Muy alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20131,sandionisioocotepec,San Dionisio Ocotepec,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Bajo
20132,sandionisioocotlan,San Dionisio Ocotlán,Medio,Bajo,Medio,Bajo,,Bajo,Alto,Medio,Medio,Medio,Medio
20133,sanestebanatatlahuca,San Esteban Atatlahuca,Alto,Muy alto,Bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20134,sanfelipejalapadediaz,San Felipe Jalapa de Díaz,Muy alto,Muy alto,Bajo,Muy bajo,Medio,Alto,Alto,Medio,Bajo,Muy bajo,Bajo
20135,sanfelipetejalapam,San Felipe Tejalápam,Medio,Medio,Medio,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Bajo
20136,sanfelipeusila,San Felipe Usila,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Alto,Medio,Medio,Bajo,Bajo
20137,sanfranciscocahuacua,San Francisco Cahuacuá,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Bajo,Alto
20138,sanfranciscocajonos,San Francisco Cajonos,Medio,Medio,Bajo,Medio,,Medio,Medio,Alto,Medio,Medio,Medio
20139,sanfranciscochapulapa,San Francisco Chapulapa,Alto,Alto,Bajo,Bajo,Alto,Alto,Medio,Medio,Medio,Muy bajo,Alto
20140,sanfranciscochindua,San Francisco Chindúa,Medio,Medio,Bajo,Muy bajo,Medio,Medio,,Alto,Medio,Bajo,Medio
20141,sanfranciscodelmar,San Francisco del Mar,Alto,Medio,Bajo,Muy bajo,Muy bajo,Medio,Medio,Medio,Bajo,Muy bajo,Medio
20142,sanfranciscohuehuetlan,San Francisco Huehuetlán,Alto,Alto,Muy bajo,Muy bajo,Alto,Alto,Medio,Medio,Medio,Medio,Alto
20143,sanfranciscoixhuatan,San Francisco Ixhuatán,Bajo,Bajo,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,Alto
20144,sanfranciscojaltepetongo,San Francisco Jaltepetongo,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Medio
20145,sanfranciscolachigolo,San Francisco Lachigoló,Muy bajo,Bajo,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo
20146,sanfranciscologueche,San Francisco Logueche,Alto,Muy alto,Bajo,Muy bajo,,Alto,Medio,,Medio,Medio,Alto
20147,sanfrancisconuxano,San Francisco Nuxaño,Medio,Medio,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20148,sanfranciscoozolotepec,San Francisco Ozolotepec,Alto,Alto,Muy bajo,Muy bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio
20149,sanfranciscosola,San Francisco Sola,Alto,Alto,Medio,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo
20150,sanfranciscotelixtlahuaca,San Francisco Telixtlahuaca,Muy bajo,Bajo,Medio,Medio,Alto,Bajo,Medio,Alto,Medio,Medio,Medio
20151,sanfranciscoteopan,San Francisco Teopan,Alto,Medio,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Medio,Muy bajo,Alto
20152,sanfranciscotlapancingo,San Francisco Tlapancingo,Muy alto,Alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Muy bajo,Alto
20153,sangabrielmixtepec,San Gabriel Mixtepec,Medio,Medio,Medio,Muy bajo,Medio,Medio,Medio,Medio,Bajo,Medio,Alto
20154,sanildefonsoamatlan,San Ildefonso Amatlán,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio
20155,sanildefonsosola,San Ildefonso Sola,Muy alto,Alto,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Bajo,Bajo
20156,sanildefonsovillaalto,San Ildefonso Villa Alto,Medio,Bajo,Bajo,Bajo,Bajo,Medio,Alto,Alto,Medio,Medio,Bajo
20157,sanjacintoamilpas,San Jacinto Amilpas,Muy bajo,Muy bajo,Alto,Alto,Alto,Bajo,Medio,Medio,Medio,Medio,Bajo
20158,sanjacintotlacotepec,San Jacinto Tlacotepec,Alto,Medio,Bajo,Muy bajo,Alto,Medio,Medio,Alto,Medio,Bajo,Alto
20159,sanjeronimocoatlan,San Jerónimo Coatlán,Alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Medio,Medio
20160,sanjeronimosilacayoapilla,San Jerónimo Silacayoapilla,Medio,Bajo,Bajo,Bajo,,Medio,Medio,Alto,Medio,Medio,Medio
20161,sanjeronimososola,San Jerónimo Sosola,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio
20162,sanjeronimotaviche,San Jerónimo Taviche,Muy alto,Alto,Bajo,Muy bajo,Medio,Medio,Medio,Muy alto,Bajo,Bajo,Medio
20163,sanjeronimotecoatl,San Jerónimo Tecóatl,Alto,Alto,Bajo,Muy bajo,Alto,Alto,Alto,Medio,Medio,Bajo,Medio
20164,sanjorgenuchita,San Jorge Nuchita,Alto,Medio,Bajo,Bajo,Medio,Alto,Medio,Medio,Medio,Muy bajo,Medio
20165,sanjoseayuquila,San José Ayuquila,Alto,Medio,Bajo,Muy bajo,Medio,Medio,Medio,Alto,Medio,Bajo,Alto
20166,sanjosechiltepec,San José Chiltepec,Medio,Bajo,Bajo,Muy bajo,Bajo,Medio,Medio,Medio,Medio,Muy bajo,Bajo
20167,sanjosedelpenasco,San José del Peñasco,Alto,Alto,Medio,Muy bajo,,Medio,Medio,Alto,Medio,Alto,Medio
20168,sanjoseestanciagrande,San José Estancia Grande,Alto,Medio,Medio,Muy bajo,,Alto,Medio,Medio,Bajo,Bajo,Medio
20169,sanjoseindependencia,San José Independencia,Muy alto,Muy alto,Muy bajo,Muy bajo,,Alto,Medio,Alto,Medio,Bajo,Medio
20170,sanjoselachiguiri,San José Lachiguiri,Muy alto,Muy alto,Bajo,Muy bajo,Muy bajo,Alto,Medio,Medio,Medio,Bajo,Alto
20171,sanjosetenango,San José Tenango,Muy alto,Muy alto,Muy bajo,Muy bajo,Bajo,Alto,Medio,Medio,Medio,Bajo,Medio
20172,sanjuanachiutla,San Juan Achiutla,Bajo,Bajo,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20173,sanjuanatepec,San Juan Atepec,Medio,Medio,Bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
20174,animastrujano,Ánimas Trujano,Muy bajo,Muy bajo,Medio,Alto,,Bajo,Alto,Alto,Medio,Medio,Bajo
20175,sanjuanbautistaatatlahuca,San Juan Bautista Atatlahuca,Alto,Medio,Bajo,Muy bajo,,Medio,Medio,Alto,Medio,Medio,Alto
20176,sanjuanbautistacoixtlahuaca,San Juan Bautista Coixtlahuaca,Alto,Medio,Bajo,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio
20177,sanjuanbautistacuicatlan,San Juan Bautista Cuicatlán,Bajo,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Medio,Medio,Medio
20178,sanjuanbautistaguelache,San Juan Bautista Guelache,Bajo,Muy bajo,Medio,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Bajo
20179,sanjuanbautistajayacatlan,San Juan Bautista Jayacatlán,Medio,Bajo,Bajo,Muy bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio
20180,sanjuanbautistalodesoto,San Juan Bautista Lo de Soto,Medio,Bajo,Bajo,Bajo,Alto,Medio,Alto,Medio,Bajo,Bajo,Medio
20181,sanjuanbautistasuchitepec,San Juan Bautista Suchitepec,Medio,Medio,Muy bajo,Bajo,Alto,Medio,Medio,Alto,Medio,Alto,Alto
