clave_mun,municipio,poblacion,pob_indigena,pob_afrodescendiente,pob_analfabeta,pob_discapacidad,viviendas,viv_internet,viv_computadoras,viv_celular,ind_rez_social,grad_rez_social,ind_margi,ind_margi_norm,grad_margi,pobr,pobr_ext,pobr_mod,pob_vuln_carencias,pob_vuln_ingresos,pob_no_vuln,rez_educativo,pob_car_hogar,pob_car_salud,pob_car_seg_social,pob_car_ser_basicos,pob_car_alimentacion,pob_car_al_una,pon_car_al_tres,pob_bajo_linea_asist,pob_bajo_linea_min_asist,gini,tasa_ingresos,cama_hospital,cama_fuera_hospital,cama_rec_nac,consultorios,equipamento,medicos_otros,medicos_gen_esp_odont,otro_pers,otro_pers_prof,enfermeria_contac_paciente,enfermeria_otras,medicos_adiest,per_tecnico,total_elementos_salud,por_mas_15_analfabeta,tasa_alfa_1524,grad_escol_prom_15
20525,Santo Domingo Zanatepec,12483,497,250,1025,950,3913,605,450,2746,-0.148122,Bajo,53.88572448,0.843775451,Medio,6325,1456,4869,3629,186,627,3308,1730,2802,8311,6877,3234,9954,5335,6511,2544,0.3551340103,0.1368196706,0,5,0,7,0,0,6,1,0,14,0,5,3,41,96.7,97.6,6.3
20526,Santos Reyes Nopala,16688,10795,1029,2363,866,4474,993,557,3160,0.947052,Medio,51.71941073,0.809853993,Alto,10606,3113,7493,3680,152,317,5522,2800,3758,13063,11318,3250,14286,8333,10757,5268,0.3670036693,0.1342889965,13,9,4,8,4,1,12,10,2,27,1,3,4,98,88.9,98.9,7.4
20527,Santos Reyes Pápalo,2490,2479,372,264,95,615,2,7,360,1.404374,Alto,50.87226967,0.796588943,Alto,2446,1453,994,37,1,7,946,848,660,2291,1759,864,2483,1612,2448,2180,0.3635236621,0.1265456652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,98.4,7.6
20528,Santos Reyes Tepejillo,904,893,4,228,135,287,3,12,152,0.819313,Medio,50.96133564,0.797983592,Alto,795,284,511,73,29,7,432,136,217,434,611,398,868,435,824,542,0.3828003307,0.1694249933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.4,99,8.4
20529,Santos Reyes Yucuná,1474,1446,1,204,98,253,4,3,140,1.641663,Alto,47.59183083,0.745221836,Muy alto,1443,610,832,30,1,1,640,578,102,1358,663,404,1473,724,1444,1221,0.4244269828,0.208355993,0,0,0,2,0,0,1,0,0,3,0,1,1,8,80.3,99,6.4
20530,Santo Tomás Jalieza,3923,1233,10,246,266,968,431,129,730,0.924626,Medio,49.78618172,0.779582317,Alto,2786,937,1849,988,22,128,1022,1155,863,3289,3187,995,3775,2085,2809,1336,0.398693343,0.1717606634,0,0,0,3,0,0,4,0,1,4,0,1,0,13,91,98.9,7.2
20531,Santo Tomás Mazaltepec,2612,2202,25,85,163,678,184,90,490,-0.01625,Bajo,54.54648341,0.854122017,Medio,2094,596,1498,270,112,138,534,442,835,2008,1342,539,2364,979,2206,1177,0.4091049929,0.1448696653,0,0,0,3,0,0,4,1,0,2,0,1,0,11,79.4,97.4,6.7
20532,Santo Tomás Ocotepec,4066,4019,21,556,278,1043,60,38,395,1.782298,Alto,50.22322278,0.786425772,Alto,3944,2264,1680,106,14,4,1209,1339,1761,3093,3849,176,4050,2587,3958,3402,0.3742346664,0.1724856695,0,0,0,4,0,0,1,0,0,5,0,4,0,14,83.9,99.1,5.8
20533,Santo Tomás Tamazulapan,2726,591,60,174,192,747,281,139,567,0.096,Bajo,53.21316217,0.833244062,Medio,1733,445,1288,838,37,119,818,553,1001,2188,1199,520,2571,1107,1770,727,0.402564675,0.1485646665,0,0,0,1,0,0,1,0,1,2,0,1,0,6,66.3,97.4,4.7
20534,San Vicente Coatlán,3512,3330,31,602,271,846,25,7,619,1.811161,Muy alto,48.83826793,0.764739306,Alto,3369,1831,1538,134,8,3,1547,1561,986,2935,3312,513,3503,2396,3377,2524,0.3817106684,0.1406824999,0,0,0,3,0,0,2,0,0,3,0,3,0,11,77.9,99.2,5.7
20535,San Vicente Lachixío,3227,3210,9,445,137,717,16,45,370,1.295182,Alto,51.17402385,0.801313993,Alto,3134,2049,1085,80,6,8,926,951,1277,2857,3154,1139,3214,2450,3140,2611,0.3611046672,0.1589024998,0,0,0,1,0,0,1,0,0,2,0,0,0,4,82.4,98.5,6.5
20536,San Vicente Nuñú,449,7,32,14,55,151,10,23,108,-0.134103,Bajo,54.75196719,0.857339606,Bajo,321,48,273,96,13,18,104,51,31,338,271,57,418,108,334,150,0.3661660055,0.1912540048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.2,100,6.6
20537,Silacayoápam,6710,1628,42,878,721,1930,130,161,1323,0.095293,Bajo,52.38514299,0.820278433,Alto,5145,1527,3618,1139,225,204,2504,1253,1724,4889,3412,1798,6284,2786,5370,2971,0.4071246684,0.1450096667,0,0,0,5,1,0,2,0,1,8,0,2,0,19,98.2,99.7,9.7
20538,Sitio de Xitlapehua,713,26,5,40,94,203,8,9,133,0.387424,Medio,53.39168387,0.836039463,Medio,549,156,394,147,5,11,210,149,224,579,553,156,697,386,555,248,0.337283661,0.235881008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4,97.6,6.2
20539,Soledad Etla,6348,453,91,86,298,1676,593,450,1480,-0.531059,Bajo,55.06696439,0.862272024,Bajo,3220,485,2736,1787,450,893,793,921,2117,4156,1392,990,5008,1377,3671,1332,0.3838210007,0.1673806657,0,0,0,3,0,0,7,3,4,4,0,1,0,22,95,100,7.3
20540,Villa de Tamazulápam del Progreso,8326,430,996,294,345,2168,734,626,1914,-0.516492,Bajo,56.53934844,0.885327509,Bajo,4951,960,3991,1415,690,1275,1382,1563,1633,5245,1714,1547,6366,1865,5640,2457,0.4120809933,0.1446426709,0,0,0,4,1,0,4,1,1,7,0,2,1,21,89.6,97,6.2
20541,Tanetze de Zaragoza,1558,1498,9,63,125,500,49,55,328,0.381493,Medio,53.794266,0.842343339,Medio,1265,260,1005,206,57,32,450,358,342,1210,641,225,1471,511,1322,726,0.3636950056,0.1675979992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,97.6,6.3
20542,Taniche,887,16,6,70,65,250,22,22,193,0.319629,Medio,53.01415425,0.830127874,Medio,700,213,486,179,3,5,356,174,246,746,697,175,879,472,702,337,0.3480596741,0.2241320014,0,0,0,1,0,0,1,0,0,2,0,0,0,4,91.9,98.4,6.8
20543,Tataltepec de Valdés,6386,4858,76,851,384,1589,49,52,1028,1.152219,Alto,49.37469472,0.773139003,Alto,6053,3725,2328,250,48,39,2550,2702,934,5740,5609,3217,6303,4837,6100,4545,0.3819613258,0.1552466676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,99.1,9.5
20544,Teococuilco de Marcos Pérez,1032,992,41,61,116,296,63,20,113,0.225874,Medio,52.61822451,0.823928166,Alto,903,346,556,126,2,1,288,336,214,822,916,174,1029,560,905,568,0.377674669,0.2490924895,0,0,0,2,0,0,2,0,0,4,0,1,0,9,91.5,98.8,7.5
20545,Teotitlán de Flores Magón,10099,3294,356,569,425,2738,1055,754,2303,-0.412565,Bajo,55.69226784,0.872063406,Bajo,4441,1363,3078,2095,441,1676,1320,1542,3328,5491,2303,2038,6536,2670,4882,2445,0.437729001,0.1297416662,13,8,5,10,6,2,15,14,2,26,1,4,10,116,91.3,99.2,7.5
20546,Teotitlán del Valle,6392,5418,207,423,436,1690,805,487,1340,0.146424,Medio,52.06460136,0.815259198,Alto,4799,1392,3407,1283,115,198,1875,2207,3248,5106,2457,1016,6082,3056,4914,2246,0.3657979965,0.165952002,0,0,0,6,1,0,16,6,2,13,0,0,2,46,93.9,99.3,6.9
20547,Teotongo,1005,32,5,65,86,320,27,30,198,-0.102436,Bajo,54.30333712,0.850314684,Medio,609,87,522,339,10,47,253,152,121,769,383,300,948,280,619,217,0.3624136647,0.1962546657,0,0,0,1,0,0,0,0,0,2,0,1,0,4,93.2,99,9.2
20548,Tepelmeme Villa de Morelos,1960,64,7,82,234,601,155,40,471,0.839862,Medio,49.68563586,0.778007909,Alto,1671,524,1147,209,45,35,602,380,426,1583,1160,441,1881,819,1717,1053,0.3799373309,0.1406606659,0,0,0,3,0,0,3,0,0,4,0,1,1,12,94.1,96.6,7
